Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Enr,6,3,3
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,24,16,8
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,16,10,6
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,46,21,25
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,27,14,13
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,3,,
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,App,31,23,8
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,16,11,5
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,App,17,11,6
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Adm,11,7,4
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,App,13,10,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,Adm,8,7,
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,App,16,6,10
ASPIRE LIONEL WILSON COLG PREP51761,ASPIRE LIONEL WILSON COLG PREP,Oakland,Alameda,Adm,13,6,7
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,App,11,10,
ASPIRE OLLIN UNIV PREP ACDMY54735,ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,Adm,7,7,
ASPIRE VANGUARD COL PREP ACAD54446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,App,6,,
ASPIRE VANGUARD COL PREP ACAD54446,ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,Adm,3,,
AVENAL HIGH SCHOOL50185,AVENAL HIGH SCHOOL,Avenal,Kings,App,22,17,5
AVENAL HIGH SCHOOL50185,AVENAL HIGH SCHOOL,Avenal,Kings,Adm,5,3,
AVESON GLOBAL LEADERSHIP ACAD50162,AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,App,8,,
AVESON GLOBAL LEADERSHIP ACAD50162,AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,Adm,6,3,3
AVESON GLOBAL LEADERSHIP ACAD50162,AVESON GLOBAL LEADERSHIP ACAD,Altadena,Los Angeles,Enr,3,,
AZUSA HIGH SCHOOL50188,AZUSA HIGH SCHOOL,Azusa,Los Angeles,App,12,8,
