Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
MCKINLEY HIGH SCHOOL120070,MCKINLEY HIGH SCHOOL,Honolulu,HI,Adm,4,,,
MCKINNEY BOYD HIGH SCHOOL444633,MCKINNEY BOYD HIGH SCHOOL,Mckinney,TX,App,10,5,5,
MCKINNEY BOYD HIGH SCHOOL444633,MCKINNEY BOYD HIGH SCHOOL,Mckinney,TX,Adm,6,4,,
MCLEAN HIGH SCHOOL471395,MCLEAN HIGH SCHOOL,Mclean,VA,App,42,19,23,
MCLEAN HIGH SCHOOL471395,MCLEAN HIGH SCHOOL,Mclean,VA,Adm,27,13,14,
MCLEAN HIGH SCHOOL471395,MCLEAN HIGH SCHOOL,Mclean,VA,Enr,5,3,,
MCNEIL HIGH SCHOOL440303,MCNEIL HIGH SCHOOL,Austin,TX,App,19,9,10,
MCNEIL HIGH SCHOOL440303,MCNEIL HIGH SCHOOL,Austin,TX,Adm,10,5,5,
MEADOWS SCHOOL290116,MEADOWS SCHOOL,Las Vegas,NV,App,20,13,6,
MEADOWS SCHOOL290116,MEADOWS SCHOOL,Las Vegas,NV,Adm,14,8,5,
MEADOWS SCHOOL290116,MEADOWS SCHOOL,Las Vegas,NV,Enr,3,,,
MEDFIELD HIGH SCHOOL221360,MEDFIELD HIGH SCHOOL,Medfield,MA,App,9,,7,
MEDFIELD HIGH SCHOOL221360,MEDFIELD HIGH SCHOOL,Medfield,MA,Adm,6,,5,
MEDFIELD HIGH SCHOOL221360,MEDFIELD HIGH SCHOOL,Medfield,MA,Enr,4,,3,
MEMORIAL HIGH SCHOOL440416,MEMORIAL HIGH SCHOOL,Frisco,TX,App,6,,,
MEMORIAL HIGH SCHOOL440416,MEMORIAL HIGH SCHOOL,Frisco,TX,Adm,4,,,
MERCER ISLAND HIGH SCHOOL480698,MERCER ISLAND HIGH SCHOOL,Mercer Island,WA,App,81,41,40,
MERCER ISLAND HIGH SCHOOL480698,MERCER ISLAND HIGH SCHOOL,Mercer Island,WA,Adm,58,31,27,
MERCER ISLAND HIGH SCHOOL480698,MERCER ISLAND HIGH SCHOOL,Mercer Island,WA,Enr,9,5,4,
MERCERSBURG ACADEMY392570,MERCERSBURG ACADEMY,Mercersburg,PA,App,24,10,14,
MERCERSBURG ACADEMY392570,MERCERSBURG ACADEMY,Mercersburg,PA,Adm,15,7,8,
MERCERSBURG ACADEMY392570,MERCERSBURG ACADEMY,Mercersburg,PA,Enr,3,,,
MERCYHURST PREPARATORY SCHOOL391295,MERCYHURST PREPARATORY SCHOOL,Erie,PA,App,13,,10,
MERCYHURST PREPARATORY SCHOOL391295,MERCYHURST PREPARATORY SCHOOL,Erie,PA,Adm,10,3,7,
MERCYHURST PREPARATORY SCHOOL391295,MERCYHURST PREPARATORY SCHOOL,Erie,PA,Enr,5,,4,
MERION MERCY ACADEMY392575,MERION MERCY ACADEMY,Merion Station,PA,App,6,6,,
MERION MERCY ACADEMY392575,MERION MERCY ACADEMY,Merion Station,PA,Adm,5,5,,
METEA VALLEY HIGH SCHOOL140187,METEA VALLEY HIGH SCHOOL,Aurora,IL,App,31,16,15,
METEA VALLEY HIGH SCHOOL140187,METEA VALLEY HIGH SCHOOL,Aurora,IL,Adm,17,7,10,
MIAMI BEACH SENIOR HIGH SCHOOL101140,MIAMI BEACH SENIOR HIGH SCHOOL,Miami Beach,FL,App,8,5,,
MIAMI BEACH SENIOR HIGH SCHOOL101140,MIAMI BEACH SENIOR HIGH SCHOOL,Miami Beach,FL,Adm,4,3,,
MIAMI COUNTRY DAY SCHOOL101032,MIAMI COUNTRY DAY SCHOOL,Miami,FL,App,11,9,,
MIAMI COUNTRY DAY SCHOOL101032,MIAMI COUNTRY DAY SCHOOL,Miami,FL,Adm,8,7,,
MIAMI PALMETTO SENIOR HS101623,MIAMI PALMETTO SENIOR HS,Miami,FL,App,17,8,9,
MIAMI PALMETTO SENIOR HS101623,MIAMI PALMETTO SENIOR HS,Miami,FL,Adm,13,7,6,
MIAMI VALLEY SCHOOL361833,MIAMI VALLEY SCHOOL,Dayton,OH,App,5,,,
MIAMI VALLEY SCHOOL361833,MIAMI VALLEY SCHOOL,Dayton,OH,Adm,3,,,
MICHAEL E DEBAKEY HIGH SCHOOL443378,MICHAEL E DEBAKEY HIGH SCHOOL,Houston,TX,App,14,9,5,
MICHAEL E DEBAKEY HIGH SCHOOL443378,MICHAEL E DEBAKEY HIGH SCHOOL,Houston,TX,Adm,6,3,3,
MID-PACIFIC INSTITUTE120075,MID-PACIFIC INSTITUTE,Honolulu,HI,App,27,12,15,
MID-PACIFIC INSTITUTE120075,MID-PACIFIC INSTITUTE,Honolulu,HI,Adm,18,4,14,
MID-PACIFIC INSTITUTE120075,MID-PACIFIC INSTITUTE,Honolulu,HI,Enr,7,,5,
MIDDLESEX CNTY ACDMY HLTH SCI311630,MIDDLESEX CNTY ACDMY HLTH SCI,Woodbridge,NJ,App,5,,,
MIDDLESEX CNTY ACDMY HLTH SCI311630,MIDDLESEX CNTY ACDMY HLTH SCI,Woodbridge,NJ,Adm,4,,3,
MIDDLESEX COUNTY ACADEMY310309,MIDDLESEX COUNTY ACADEMY,Edison,NJ,App,14,5,7,
MIDDLESEX COUNTY ACADEMY310309,MIDDLESEX COUNTY ACADEMY,Edison,NJ,Adm,5,3,,
MIDDLESEX SCHOOL220650,MIDDLESEX SCHOOL,Concord,MA,App,17,11,6,
MIDDLESEX SCHOOL220650,MIDDLESEX SCHOOL,Concord,MA,Adm,7,6,,
MIDDLETON HIGH SCHOOL501320,MIDDLETON HIGH SCHOOL,Middleton,WI,App,27,16,10,
MIDDLETON HIGH SCHOOL501320,MIDDLETON HIGH SCHOOL,Middleton,WI,Adm,15,8,7,
MIDDLETON HIGH SCHOOL501320,MIDDLETON HIGH SCHOOL,Middleton,WI,Enr,3,3,,
MILILANI HIGH SCHOOL120197,MILILANI HIGH SCHOOL,Mililani,HI,App,26,12,14,
MILILANI HIGH SCHOOL120197,MILILANI HIGH SCHOOL,Mililani,HI,Adm,16,7,9,
MILLARD NORTH HIGH SCHOOL281506,MILLARD NORTH HIGH SCHOOL,Omaha,NE,App,20,14,5,
MILLARD NORTH HIGH SCHOOL281506,MILLARD NORTH HIGH SCHOOL,Omaha,NE,Adm,14,9,5,
MILLARD NORTH HIGH SCHOOL281506,MILLARD NORTH HIGH SCHOOL,Omaha,NE,Enr,3,3,,
MILLBROOK SCHOOL333140,MILLBROOK SCHOOL,Millbrook,NY,App,11,7,,
MILLBROOK SCHOOL333140,MILLBROOK SCHOOL,Millbrook,NY,Adm,8,4,4,
MILLBROOK SCHOOL333140,MILLBROOK SCHOOL,Millbrook,NY,Enr,3,,,
MILLBURN HIGH SCHOOL310795,MILLBURN HIGH SCHOOL,Millburn,NJ,App,42,24,18,
MILLBURN HIGH SCHOOL310795,MILLBURN HIGH SCHOOL,Millburn,NJ,Adm,24,14,10,
MILLBURN HIGH SCHOOL310795,MILLBURN HIGH SCHOOL,Millburn,NJ,Enr,3,,,
MILLER SCHOOL OF ALBEMARLE471440,MILLER SCHOOL OF ALBEMARLE,Charlottesville,VA,App,7,,,
MILLER SCHOOL OF ALBEMARLE471440,MILLER SCHOOL OF ALBEMARLE,Charlottesville,VA,Adm,6,3,3,
MILLER SCHOOL OF ALBEMARLE471440,MILLER SCHOOL OF ALBEMARLE,Charlottesville,VA,Enr,3,,3,
MILTON ACADEMY221430,MILTON ACADEMY,Milton,MA,App,28,11,16,
MILTON ACADEMY221430,MILTON ACADEMY,Milton,MA,Adm,16,6,10,
MILTON HIGH SCHOOL110060,MILTON HIGH SCHOOL,Milton,GA,App,24,10,14,
MILTON HIGH SCHOOL110060,MILTON HIGH SCHOOL,Milton,GA,Adm,16,7,9,
MILTON HIGH SCHOOL110060,MILTON HIGH SCHOOL,Milton,GA,Enr,3,,,
MILTON HIGH SCHOOL221440,MILTON HIGH SCHOOL,Milton,MA,App,10,5,5,
MILTON HIGH SCHOOL221440,MILTON HIGH SCHOOL,Milton,MA,Adm,5,3,,
MINNEHAHA ACADEMY241625,MINNEHAHA ACADEMY,Minneapolis,MN,App,5,,,
MINNEHAHA ACADEMY241625,MINNEHAHA ACADEMY,Minneapolis,MN,Adm,3,,,
