Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,18,8,10
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Enr,7,5,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,33,21,12
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,14,8,6
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Enr,6,4,
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,App,26,17,9
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,Adm,4,4,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,App,35,21,14
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Adm,11,5,6
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,App,29,18,11
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Adm,4,,3
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,App,50,27,23
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Adm,14,6,8
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,120,74,46
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,32,18,14
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,3,,
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,391,205,185
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,116,64,52
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,49,30,19
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,App,45,29,16
ARLETA HIGH SCHOOL50068,ARLETA HIGH SCHOOL,Arleta,Los Angeles,Adm,3,,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,App,66,42,24
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Adm,14,10,4
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Enr,4,,
