Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ANIMO WATTS COLLGE PREP ACDMY54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,App,19,10,9
ANIMO WATTS COLLGE PREP ACDMY54283,ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,Adm,3,,
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,App,44,18,26
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,10,4,6
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,29,16,13
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,7,3,4
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Enr,3,,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,App,26,14,12
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Adm,5,3,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Enr,4,,
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,App,17,9,8
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Adm,7,3,4
APPLE VALLEY HIGH SCHOOL50118,APPLE VALLEY HIGH SCHOOL,Apple Valley,San Bernardino,Enr,3,,
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,App,16,10,6
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Adm,7,4,3
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Enr,3,,
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,App,37,20,17
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Adm,7,3,4
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Enr,5,,3
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,129,77,52
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,18,10,8
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,12,6,6
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,249,124,124
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,55,21,34
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,21,8,13
ARISE HIGH SCHOOL54258,ARISE HIGH SCHOOL,Oakland,Alameda,App,14,11,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,App,12,10,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Adm,6,6,
ARLINGTON HIGH SCHOOL52658,ARLINGTON HIGH SCHOOL,Riverside,Riverside,Enr,3,3,
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,App,22,8,14
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,Adm,4,,
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,190,92,98
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,40,23,17
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,19,10,9
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,36,18,18
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,10,4,6
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Enr,4,,3
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,App,31,14,17
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Adm,8,4,4
ARROYO HIGH SCHOOL50830,ARROYO HIGH SCHOOL,El Monte,Los Angeles,Enr,4,,
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,App,60,30,30
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Adm,16,11,5
ARROYO HIGH SCHOOL53125,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,Enr,13,8,5
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,App,23,15,8
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Adm,8,7,
ARROYO VALLEY HIGH SCHOOL52948,ARROYO VALLEY HIGH SCHOOL,San Bernardino,San Bernardino,Enr,4,3,
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,App,16,5,11
ARTESIA HIGH SCHOOL50155,ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,Adm,4,,
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,App,24,13,11
ARVIN HIGH SCHOOL50160,ARVIN HIGH SCHOOL,Arvin,Kern,Adm,7,3,4
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,App,15,9,6
ASPIRE BENJAMIN HOLT COLG PREP53843,ASPIRE BENJAMIN HOLT COLG PREP,Stockton,San Joaquin,Adm,3,,3
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,App,17,10,7
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,Adm,3,,
ASPIRE GOLDEN STATE PREP ACADEMY54260,ASPIRE GOLDEN STATE PREP ACADEMY,Oakland,Alameda,Enr,3,,
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,App,14,9,5
ASPIRE LANGSTON HUGHES ACADEMY54460,ASPIRE LANGSTON HUGHES ACADEMY,Stockton,San Joaquin,Adm,4,3,
