Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
CHONGQING NO 1 INTL STUDIES SC694406,CHONGQING NO 1 INTL STUDIES SC,n/a ,"CHINA, PEOPLES REPUBLIC",3.9,3.97,
CHONGQING NO 2 FOREIGN LNG SCH694358,CHONGQING NO 2 FOREIGN LNG SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,3.78,
CHRISTIAN ACADEMY IN JAPAN680420,CHRISTIAN ACADEMY IN JAPAN,n/a ,JAPAN,4.11,,
CLIFFORD SCHOOL694212,CLIFFORD SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.67,3.75,
COLEGIO ANGLO COLOMBIANO925300,COLEGIO ANGLO COLOMBIANO,n/a ,COLOMBIA,3.96,,
COLEGIO FRANKLIN D ROOSEVELT940240,COLEGIO FRANKLIN D ROOSEVELT,n/a ,PERU,3.99,4.04,
COLEGIO SANTA CRUZ910595,COLEGIO SANTA CRUZ,n/a ,BRAZIL,2.93,,
COLLEGE DU LEMAN INTL SCHOOL796820,COLLEGE DU LEMAN INTL SCHOOL,n/a ,SWITZERLAND,3.64,3.93,
COLLEGE LOUISE WEGMANN685482,COLLEGE LOUISE WEGMANN,n/a ,LEBANON,3.95,,
COLLEGE NOTRE-DAME DE JAMHOUR685489,COLLEGE NOTRE-DAME DE JAMHOUR,n/a ,LEBANON,3.68,,
COLLINGWOOD SCHOOL821749,COLLINGWOOD SCHOOL,n/a ,CANADA,3.93,3.94,
COLOMBIA990012,COLOMBIA,n/a ,,3.33,,
COLOMBO INTERNATIONAL SCHOOL638005,COLOMBO INTERNATIONAL SCHOOL,n/a ,SRI LANKA,3,,
COLONEL BY SECONDARY SCHOOL826433,COLONEL BY SECONDARY SCHOOL,n/a ,CANADA,4.22,4.21,
CONCORDIA INTER SCHOOL SHANGHA694220,CONCORDIA INTER SCHOOL SHANGHA,n/a ,"CHINA, PEOPLES REPUBLIC",3.91,3.99,
CONCORDIAN INTERNATIONAL SCH695519,CONCORDIAN INTERNATIONAL SCH,n/a ,THAILAND,3.87,3.97,
CORNERSTONE COLL ACAD OF SEOUL682034,CORNERSTONE COLL ACAD OF SEOUL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.1,4.1,
CRESCENT SCHOOL826956,CRESCENT SCHOOL,n/a ,CANADA,4.09,,
CROFTON HOUSE SCHOOL821420,CROFTON HOUSE SCHOOL,n/a ,CANADA,3.99,4.02,4.11
DAEGU INTERNATIONAL SCHOOL682002,DAEGU INTERNATIONAL SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.1,4.16,
DALIAN AMERICAN INTRNTL SCHOOL694247,DALIAN AMERICAN INTRNTL SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.58,3.73,
DALIAN MAPLE LEAF INTL SCHOOL694205,DALIAN MAPLE LEAF INTL SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.91,3.89,
DAR AL FIKR BOYS SCHOOL692123,DAR AL FIKR BOYS SCHOOL,n/a ,SAUDI ARABIA,3.98,3.99,
DAR AL FIKR SCHOOL GIRLS692124,DAR AL FIKR SCHOOL GIRLS,n/a ,SAUDI ARABIA,3.94,3.94,
DAR JANA INTERNATIONAL SCH692141,DAR JANA INTERNATIONAL SCH,n/a ,SAUDI ARABIA,3.79,,
DELHI PUB SCHL BANGALORE NORTH671113,DELHI PUB SCHL BANGALORE NORTH,n/a ,INDIA,3.69,,
DELHI PUB SCHL-BANGALORE SOUTH671702,DELHI PUB SCHL-BANGALORE SOUTH,n/a ,INDIA,3.33,,
DELHI PUBLIC SCHL VASANT KUNJ671024,DELHI PUBLIC SCHL VASANT KUNJ,n/a ,INDIA,3.73,3.72,
DELHI PUBLIC SCHL-BANGALORE E671607,DELHI PUBLIC SCHL-BANGALORE E,n/a ,INDIA,3.88,,
DELHI PUBLIC SCHOOL - BOPAL671241,DELHI PUBLIC SCHOOL - BOPAL,n/a ,INDIA,3.57,,
DELHI PUBLIC SCHOOL R K PURAM671830,DELHI PUBLIC SCHOOL R K PURAM,n/a ,INDIA,3.79,3.81,3.81
DELHI PUBLIC SCHOOL-GURGAON671305,DELHI PUBLIC SCHOOL-GURGAON,n/a ,INDIA,3.62,3.56,
DHAHRAN AHLIYYA SCHOOL692145,DHAHRAN AHLIYYA SCHOOL,n/a ,SAUDI ARABIA,3.92,3.98,3.93
DHAHRAN HIGH SCHOOL692103,DHAHRAN HIGH SCHOOL,n/a ,SAUDI ARABIA,3.86,3.77,
DHIRUBHAI AMBANI INTL SCHOOL671661,DHIRUBHAI AMBANI INTL SCHOOL,n/a ,INDIA,3.98,4.19,
DIOCESAN BOYS SCHOOL670470,DIOCESAN BOYS SCHOOL,n/a ,HONG KONG,3.93,4.03,
DIOCESAN GIRLS SCHOOL670480,DIOCESAN GIRLS SCHOOL,n/a ,HONG KONG,2.81,,
DOMINICAN INTERNATIONAL SCH694305,DOMINICAN INTERNATIONAL SCH,n/a ,TAIWAN,3.69,,
DOON SCHOOL671616,DOON SCHOOL,n/a ,INDIA,4.02,4.03,3.89
DPS MODERN INDIAN SCHL - DOHA632091,DPS MODERN INDIAN SCHL - DOHA,n/a ,QATAR,3.98,3.99,
DUBAI AMERICAN ACADEMY697012,DUBAI AMERICAN ACADEMY,n/a ,UNITED ARAB EMIRATES,3.77,3.92,3.89
DUBAI INTERNATIONAL ACADEMY697027,DUBAI INTERNATIONAL ACADEMY,n/a ,UNITED ARAB EMIRATES,3.78,3.81,
DUBAI MODERN HIGH SCHOOL697036,DUBAI MODERN HIGH SCHOOL,n/a ,UNITED ARAB EMIRATES,3.74,3.95,
DULWICH INTRNTL HS SUZHOU694496,DULWICH INTRNTL HS SUZHOU,n/a ,"CHINA, PEOPLES REPUBLIC",3.39,3.36,
DUNMAN HIGH SCHOOL687197,DUNMAN HIGH SCHOOL,n/a ,SINGAPORE,3.56,,
DWIGHT SCHOOL SEOUL682173,DWIGHT SCHOOL SEOUL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.54,,
EAST CHINA NORMAL UNIV AFL BIL694093,EAST CHINA NORMAL UNIV AFL BIL,n/a ,"CHINA, PEOPLES REPUBLIC",3.73,3.89,
ECOLE ACTIVE BILINGUE JM731595,ECOLE ACTIVE BILINGUE JM,n/a ,FRANCE,3.68,,
ECOLE MONDIALE WORLD SCHOOL671668,ECOLE MONDIALE WORLD SCHOOL,n/a ,INDIA,3.8,3.88,
ECOLE MOSCROP SECONDARY SCHOOL821037,ECOLE MOSCROP SECONDARY SCHOOL,n/a ,CANADA,3.97,3.95,
EGYPT990017,EGYPT,n/a ,EGYPT,3.52,,
ELGIN PARK SECONDARY SCHOOL821102,ELGIN PARK SECONDARY SCHOOL,n/a ,CANADA,3.95,4,
EMIRATES INTERNATIONAL SCHOOL697024,EMIRATES INTERNATIONAL SCHOOL,n/a ,UNITED ARAB EMIRATES,3.61,3.8,
ESCOLA AMERI DO RIO DE JANEIRO910450,ESCOLA AMERI DO RIO DE JANEIRO,n/a ,BRAZIL,3.82,3.83,
ESCOLA GRADUADA DE SAO PAULO910650,ESCOLA GRADUADA DE SAO PAULO,n/a ,BRAZIL,3.8,3.77,
EUNOIA JUNIOR COLLEGE687113,EUNOIA JUNIOR COLLEGE,n/a ,SINGAPORE,3.51,,
FAYSTON PREPARATORY SCHOOL682398,FAYSTON PREPARATORY SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.62,3.77,
FIITJEE JUNIOR COLLEGE671630,FIITJEE JUNIOR COLLEGE,n/a ,INDIA,3.37,3.32,
FIRST HIGH SCHOOL OF CHANGSHA694576,FIRST HIGH SCHOOL OF CHANGSHA,n/a ,"CHINA, PEOPLES REPUBLIC",3.88,3.88,
FRANCE990021,FRANCE,n/a ,,3.66,3.7,
